,addresses,last_update,pub_key,alias,color,is_reachable,fx,fy,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,geo_info.country_code,geo_info.country_name,geo_info.region_code,geo_info.region_name,geo_info.latitude,geo_info.longitude,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
13,[],1579244544,0289ae872923d5d5aeaa6bed594d4ed484386cff1ac86f3752d53b93385a589651,0289ae872923d5d5aeaa,#3399ff,False,436.7024463767007,207.61313984777354,tlv-onion,False,True,static-remote-key,False,True,,,,,,,,,,,,,,,,,,,,,,1.0,100000.0,0.0,0.0,1.0
20,[],1616761111,030a560935cd5d27ade70c7d45d61c46a5cccaacbf26ecfe26886755c622f72fce,030a560935cd5d27ade7,#3399ff,False,491.6892553626467,363.14122940139333,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,21100000.0,0.0,0.0,1.0
8,[],1629039713,0234e6d122eb971173180323d93790ebf9e2ff0de8a557650e10c67633e6153fbe,0234e6d122eb97117318,#3399ff,False,469.7628530581684,231.16894440866133,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,29988450.0,0.0,0.0,1.0
17,[],1603644706,02d04eeaef36926b40f58665e4e6468640e3c5aadd137fc012885e4a9a96d81213,02d04eeaef36926b40f5,#3399ff,False,393.21487043016776,190.09408687502355,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,2000000.0,0.0,0.0,1.0
32,[],1648210834,03b40d974404d0077e35eb189f99aa407476245d97676576cefa723f04f8a1b8b3,03b40d974404d0077e35,#3399ff,False,289.56908326112944,558.5383912640874,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,1.0,10000000.0,1.0
6,[],1578495091,021c520381872f1e45595be898fbc01a23f13e168ca28f769a742e4ee48aa5f81b,021c520381872f1e4559,#3399ff,False,363.1908970903256,257.740246296032,tlv-onion,False,True,static-remote-key,False,True,,,,,,,,,,,,,,,,,,,,,,1.0,50000.0,0.0,0.0,1.0
5,[],1613278657,021c3fe413817e2ee373c62e11467a0b6a82b54db8921eeea23e5b64068cac4e1d,021c3fe413817e2ee373,#3399ff,False,457.290574926528,265.5431081817387,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,135463.0,0.0,0.0,1.0
21,"[{'network': 'tcp', 'addr': '155.94.145.73:9735'}]",1578297620,0312775fad997a69e4dd0e7a4a484490c61e1df47ddee82ae11e2cd9e0ed49da64,dante@dcrclub.org,#00ffff,False,452.7315800135834,225.64024157966077,tlv-onion,False,True,static-remote-key,False,True,US,United States,CA,California,34.0485,-118.2529,,,,,,,,,,,,,,,,1.0,400000.0,0.0,0.0,1.0
3,"[{'network': 'tcp', 'addr': '155.94.145.73:9735'}]",1583307408,02180199394a6eedb2e2eef6bb03a7906717882262fc28e3d35f02ca67b368ac8b,02_chinese_ln.dcrclub.org,#daa520,False,383.39767690994097,267.9205471636452,tlv-onion,False,True,static-remote-key,False,True,US,United States,CA,California,34.0485,-118.2529,,,,,,,,,,,,,,,,1.0,10000000.0,0.0,0.0,1.0
2,[],1603489846,020708d8c236de95d5d08da5de9c322a223cd4ac32737853bcf81fb00c86b458cf,020708d8c236de95d5d0,#3399ff,False,412.69954028014746,184.17502693520765,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,0.0,0.0,1.0
19,[],1647754010,02f9bb85c9e1a85d91cc9fc833d6d03721ba66cd90ac59f45a1677e077ecadc024,02f9bb85c9e1a85d91cc,#3399ff,False,261.70682069335527,538.2080758698605,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,5000000.0,0.0,0.0,1.0
